game,date,age,team,opp,result,mp,playoffs mp,fg,playoffs fg,fga,fgp,three,playoffs 3,threeatt,threep,playoffs 3p,ft,playoffs ft,fta,ftp,orb,playoffs orb,drb,playoffs drb,trb,playoffs trb,ast,stl,blk,tov,playoffs tov,pts,playoffs pts,game_score,plus_minus
1,10/26/1984,21-252,CHI,WSB,W (+16),40,40,5,12,16,0.313,0,0,0,,0,6,7,7,0.857,1,0,5,5,6,5,7,2,4,5,6,16,31,12.5,
2,10/27/1984,21-253,CHI,MIL,L (-2),34,44,8,10,13,0.615,0,0,0,,0,5,10,5,1,3,3,2,2,5,5,5,2,1,3,7,21,30,19.4,
3,10/29/1984,21-255,CHI,MIL,W (+6),34,39,13,18,24,0.542,0,1,0,,1,11,7,13,0.846,2,2,2,5,4,7,5,6,2,3,5,37,44,32.9,
4,10/30/1984,21-256,CHI,KCK,W (+5),36,43,8,14,21,0.381,0,0,0,,0,9,22,9,1,2,0,2,3,4,3,5,3,1,6,1,25,50,14.7,
5,11/1/1984,21-258,CHI,DEN,L (-16),33,44,7,17,15,0.467,0,1,0,,1,3,9,4,0.75,3,3,2,6,5,9,5,1,1,2,2,17,44,13.2,
6,11/7/1984,21-264,CHI,DET,W (+4),27,46,9,11,19,0.474,0,1,0,,0.5,7,11,9,0.778,1,2,3,8,4,10,3,3,1,5,6,25,34,14.9,
7,11/8/1984,21-265,CHI,NYK,W (+15),33,42,15,19,22,0.682,0,4,0,,0.364,3,7,4,0.75,4,2,4,3,8,5,5,3,2,5,5,33,49,29.3,
8,11/10/1984,21-267,CHI,IND,W (+2),42,42,9,14,22,0.409,0,0,0,,0,9,10,12,0.75,2,4,7,15,9,19,4,2,5,3,4,27,38,21.2,
9,11/13/1984,21-270,CHI,SAS,W (+3),43,38,18,6,27,0.667,1,0,1,1,0,8,10,11,0.727,2,0,8,3,10,3,4,3,2,4,6,45,22,37.5,
10,11/15/1984,21-272,CHI,BOS,L (-20),33,39,12,10,24,0.5,0,2,1,0,1,3,13,3,1,0,2,2,1,2,3,2,2,1,1,3,27,35,17.1,
11,11/17/1984,21-274,CHI,PHI,L (-9),44,46,4,11,17,0.235,0,0,0,,0,8,11,8,1,0,0,5,7,5,7,7,5,2,4,1,16,33,12.5,
12,11/19/1984,21-276,CHI,IND,L (-17),39,37,11,11,26,0.423,0,1,3,0,0.5,12,6,16,0.75,2,0,3,8,5,8,2,2,1,3,2,34,29,20.8,
13,11/21/1984,21-278,CHI,MIL,L (-10),42,40,11,14,22,0.5,0,1,0,,1,13,7,14,0.929,4,2,9,6,13,8,2,2,2,6,4,35,36,26.7,
14,11/23/1984,21-280,CHI,SEA,W (+19),30,44,9,15,13,0.692,0,1,0,,0.333,5,4,6,0.833,0,2,4,3,4,5,3,4,1,4,5,23,35,19.5,
15,11/24/1984,21-281,CHI,POR,L (-10),41,39,10,13,24,0.417,0,0,1,0,0,10,11,10,1,3,0,3,3,6,3,8,3,1,4,0,30,37,23.9,
16,11/27/1984,21-284,CHI,GSW,L (-6),24,44,6,10,10,0.6,0,0,0,,0,1,9,1,1,0,1,2,7,2,8,3,3,2,4,3,13,29,11.1,
17,11/29/1984,21-286,CHI,PHO,L (-5),30,34,9,16,17,0.529,1,6,1,1,0.6,3,1,4,0.75,1,2,2,1,3,3,2,2,0,2,1,22,39,14,
18,11/30/1984,21-287,CHI,LAC,W (+4),37,50,9,16,15,0.6,0,0,0,,0,2,7,4,0.5,2,1,3,4,5,5,5,3,0,4,5,20,39,15.5,
19,12/2/1984,21-289,CHI,LAL,W (+1),42,41,7,11,13,0.538,0,0,0,,0,6,4,8,0.75,2,2,0,5,2,7,3,1,1,4,5,20,26,12.9,
20,12/4/1984,21-291,CHI,NJN,W (+15),35,45,7,9,13,0.538,0,0,0,,0,6,10,6,1,1,1,2,3,3,4,6,1,0,3,4,20,28,16,
21,12/7/1984,21-294,CHI,NYK,W (+2),43,44,8,15,16,0.5,0,3,1,0,0.429,5,12,7,0.714,1,0,1,1,2,1,3,2,0,6,1,21,45,9.3,
22,12/8/1984,21-295,CHI,DAL,W (+2),35,44,10,15,23,0.435,0,3,0,,0.429,0,12,0,,4,0,3,1,7,1,2,0,2,2,1,20,45,11.2,
23,12/11/1984,21-298,CHI,DET,L (-7),37,44,13,15,28,0.464,0,3,1,0,0.429,1,12,3,0.333,1,0,7,1,8,1,6,2,0,3,1,27,45,16.2,
24,12/12/1984,21-299,CHI,DET,L (-7),30,44,6,15,17,0.353,0,3,2,0,0.429,9,12,10,0.9,0,0,1,1,1,1,2,2,1,1,1,21,45,12.5,
25,12/14/1984,21-301,CHI,NJN,L (-2),44,44,12,15,25,0.48,0,3,0,,0.429,10,12,10,1,2,0,6,1,8,1,8,1,0,0,1,34,45,29.5,
26,12/15/1984,21-302,CHI,PHI,L (-12),27,44,7,15,16,0.438,0,3,0,,0.429,0,12,0,,1,0,1,1,2,1,2,1,0,1,1,14,45,7.2,
27,12/18/1984,21-305,CHI,HOU,L (-8),45,44,8,15,20,0.4,0,3,1,0,0.429,2,12,4,0.5,1,0,2,1,3,1,8,3,0,1,1,18,45,14.5,
28,12/20/1984,21-307,CHI,ATL,W (+3),41,44,12,15,22,0.545,0,3,0,,0.429,10,12,16,0.625,4,0,4,1,8,1,7,5,1,7,1,34,45,26.6,
29,12/22/1984,21-309,CHI,BOS,W (+25),35,44,12,15,18,0.667,0,3,0,,0.429,8,12,8,1,1,0,11,1,12,1,8,0,3,3,1,32,45,31.7,
30,12/27/1984,21-314,CHI,CLE,W (+4),44,44,20,15,33,0.606,0,3,1,0,0.429,5,12,5,1,2,0,5,1,7,1,11,3,0,3,1,45,45,40.1,
31,12/29/1984,21-316,CHI,ATL,L (-3),39,44,7,15,18,0.389,0,3,0,,0.429,7,12,9,0.778,1,0,3,1,4,1,5,0,0,3,1,21,45,10.1,
32,1/2/1985,21-320,CHI,ATL,L (-14),34,44,10,15,14,0.714,0,3,0,,0.429,5,12,6,0.833,1,0,6,1,7,1,4,3,0,4,1,25,45,22.3,
33,1/4/1985,21-322,CHI,MIL,W (+5),38,44,9,15,16,0.563,0,3,1,0,0.429,4,12,5,0.8,0,0,2,1,2,1,6,3,0,0,1,22,45,20.2,
34,1/5/1985,21-323,CHI,NYK,L (-6),42,44,16,15,25,0.64,0,3,0,,0.429,10,12,11,0.909,4,0,3,1,7,1,4,2,1,3,1,42,45,35.5,
35,1/9/1985,21-327,CHI,BOS,L (-3),42,44,12,15,24,0.5,0,3,0,,0.429,12,12,13,0.923,4,0,2,1,6,1,6,2,1,4,1,36,45,28.3,
36,1/11/1985,21-329,CHI,NYK,W (+16),30,44,8,15,14,0.571,0,3,0,,0.429,7,12,7,1,2,0,4,1,6,1,5,2,0,5,1,23,45,18.3,
37,1/12/1985,21-330,CHI,CLE,L (-3),36,44,10,15,21,0.476,0,3,1,0,0.429,4,12,6,0.667,4,0,8,1,12,1,3,1,0,3,1,24,45,15.8,
38,1/14/1985,21-332,CHI,DEN,W (+9),43,44,11,15,16,0.688,0,3,0,,0.429,13,12,15,0.867,2,0,12,1,14,1,15,3,1,6,1,35,45,39.4,
39,1/16/1985,21-334,CHI,NJN,L (-6),44,44,8,15,17,0.471,0,3,1,0,0.429,11,12,12,0.917,1,0,6,1,7,1,7,2,0,6,1,27,45,20.1,
40,1/17/1985,21-335,CHI,CLE,W (+5),40,44,8,15,20,0.4,0,3,0,,0.429,9,12,12,0.75,0,0,4,1,4,1,6,2,2,3,1,25,45,17.2,
41,1/19/1985,21-337,CHI,IND,L (-3),41,44,15,15,27,0.556,2,3,4,0.5,0.429,6,12,8,0.75,2,0,10,1,12,1,7,3,2,2,1,38,45,34,
42,1/22/1985,21-340,CHI,POR,W (+8),39,44,11,15,20,0.55,0,3,1,0,0.429,7,12,7,1,1,0,11,1,12,1,5,2,0,4,1,29,45,23.3,
43,1/25/1985,21-343,CHI,SEA,W (+17),37,44,6,15,15,0.4,0,3,1,0,0.429,10,12,10,1,2,0,2,1,4,1,8,4,2,1,1,22,45,24.7,
44,1/26/1985,21-344,CHI,ATL,W (+13),43,44,17,15,24,0.708,0,3,0,,0.429,11,12,11,1,1,0,7,1,8,1,10,0,4,5,1,45,45,41.4,
45,1/29/1985,21-347,CHI,KCK,W (+6),38,44,11,15,17,0.647,0,3,0,,0.429,4,12,6,0.667,0,0,7,1,7,1,7,3,0,1,1,26,45,25.5,
46,1/30/1985,21-348,CHI,WSB,L (-11),41,44,12,15,19,0.632,0,3,0,,0.429,14,12,15,0.933,0,0,7,1,7,1,8,4,0,4,1,38,45,35.6,
47,2/1/1985,21-350,CHI,PHI,L (-11),37,44,9,15,16,0.563,0,3,2,0,0.429,13,12,14,0.929,0,0,6,1,6,1,5,2,0,3,1,31,45,25.3,
48,2/5/1985,21-354,CHI,BOS,L (-4),45,44,14,15,25,0.56,0,3,1,0,0.429,13,12,14,0.929,4,0,8,1,12,1,7,4,1,1,1,41,45,40.1,
49,2/7/1985,21-356,CHI,CLE,L (-9),38,44,8,15,17,0.471,0,3,0,,0.429,7,12,8,0.875,3,0,1,1,4,1,7,4,0,7,1,23,45,15.8,
50,2/12/1985,21-361,CHI,DET,W (+13),45,44,19,15,31,0.613,0,3,0,,0.429,11,12,13,0.846,7,0,8,1,15,1,5,4,0,6,1,49,45,40.9,
51,2/15/1985,21-364,CHI,IND,L (-18),37,44,8,15,20,0.4,0,3,1,0,0.429,1,12,2,0.5,1,0,6,1,7,1,6,0,2,4,1,17,45,9.5,
52,2/17/1985,22-000,CHI,MIL,L (-20),34,44,9,15,15,0.6,0,3,0,,0.429,8,12,8,1,2,0,1,1,3,1,3,2,1,5,1,26,45,20.2,
53,2/19/1985,22-002,CHI,LAL,L (-10),30,44,6,15,13,0.462,0,3,2,0,0.429,4,12,5,0.8,4,0,2,1,6,1,8,0,0,3,1,16,45,12.9,
54,2/22/1985,22-005,CHI,BOS,L (-10),42,44,8,15,18,0.444,0,3,0,,0.429,10,12,12,0.833,1,0,3,1,4,1,7,3,0,3,1,26,45,21.1,
55,2/23/1985,22-006,CHI,GSW,W (+15),32,44,15,15,20,0.75,0,3,0,,0.429,8,12,8,1,1,0,4,1,5,1,5,3,0,0,1,38,45,36.8,
56,2/26/1985,22-009,CHI,CLE,L (-5),48,44,12,15,27,0.444,0,3,1,0,0.429,4,12,4,1,3,0,6,1,9,1,5,0,0,1,1,28,45,18.7,
57,2/27/1985,22-010,CHI,DET,L (-9),35,44,8,15,17,0.471,0,3,1,0,0.429,8,12,9,0.889,1,0,5,1,6,1,2,4,1,4,1,24,45,18,
58,3/1/1985,22-012,CHI,NYK,W (+5),38,44,6,15,15,0.4,0,3,0,,0.429,9,12,12,0.75,2,0,8,1,10,1,10,3,0,7,1,21,45,17.7,
59,3/3/1985,22-014,CHI,NJN,L (-4),41,44,13,15,21,0.619,0,3,0,,0.429,11,12,12,0.917,6,0,8,1,14,1,5,3,1,3,1,37,45,37.1,
60,3/5/1985,22-016,CHI,WSB,W (+5),44,44,12,15,23,0.522,0,3,0,,0.429,13,12,17,0.765,2,0,7,1,9,1,8,2,1,2,1,37,45,32.7,
61,3/6/1985,22-017,CHI,BOS,W (+3),42,44,13,15,28,0.464,0,3,0,,0.429,7,12,7,1,2,0,5,1,7,1,3,5,2,5,1,33,45,24.2,
62,3/8/1985,22-019,CHI,LAC,W (+16),28,44,7,15,13,0.538,1,3,2,0.5,0.429,11,12,14,0.786,2,0,6,1,8,1,7,0,1,1,1,26,45,25.1,
63,3/9/1985,22-020,CHI,UTA,L (-6),38,44,9,15,21,0.429,1,3,1,1,0.429,9,12,16,0.563,2,0,4,1,6,1,4,5,0,6,1,28,45,16.5,
64,3/11/1985,22-022,CHI,WSB,L (-7),34,44,6,15,14,0.429,0,3,0,,0.429,9,12,10,0.9,1,0,3,1,4,1,4,0,0,4,1,21,45,12.8,
65,3/12/1985,22-023,CHI,DET,W (+1),39,44,11,15,24,0.458,0,3,1,0,0.429,10,12,11,0.909,3,0,5,1,8,1,4,1,0,5,1,32,45,20.8,
66,3/14/1985,22-025,CHI,NYK,L (-9),34,44,5,15,18,0.278,0,3,0,,0.429,6,12,11,0.545,1,0,2,1,3,1,8,1,0,1,1,16,45,9.1,
67,3/15/1985,22-026,CHI,PHO,W (+6),42,44,11,15,15,0.733,0,3,0,,0.429,5,12,6,0.833,1,0,8,1,9,1,14,2,2,6,1,27,45,29.6,
68,3/17/1985,22-028,CHI,MIL,W (+2),48,44,11,15,25,0.44,0,3,3,0,0.429,10,12,13,0.769,6,0,5,1,11,1,16,1,1,3,1,32,45,31.3,
69,3/19/1985,22-030,CHI,HOU,L (-6),42,44,11,15,22,0.5,0,3,0,,0.429,9,12,10,0.9,2,0,2,1,4,1,7,2,1,7,1,31,45,21,
70,3/20/1985,22-031,CHI,SAS,L (-8),43,44,14,15,23,0.609,0,3,1,0,0.429,10,12,12,0.833,3,0,4,1,7,1,4,3,0,2,1,38,45,31.8,
