Q2,,,Q3,,,Q5,,,,,
Sum of Lebron fg,Lebron playoffs fg,,Sum of Lebron mp,Lebron playoffs mp,,Sum of Lebron tov,Lebron playoffs tov,,,,
"12,481","15,799",,"48,570","52,460",,"4,424","2,081",,,,
,,,,,,,,,,,
,,,Sum of Jordan mp ,Jordan playoffs mp,,Sum of Jordan tov,Jordan playoffs tov,,,,
,,,"50,381","54,929",,"3,500","2,200",,,,
Sum of Jordan fg,Jordan playoffs fg,,,,,,,,,,
"14,258","18,244",,Sum of Lebron pts,Lebron playoffs pts,,,,,,,
,,,"34,241","36,576",,,,,,,
,,,,,,,,,,,
Sum of Lebron 3,Lebron playoffs 3,,Sum of Jordan pts,Jordan playoffs pts,,Q6,,,,,
"1,875","6,138",,"36,244","53,661",,Sum of Lebron 3p,Lebron playoffs 3p,,,,
,,,,,,380.402,286.15,,,,
,,,,,,,,,,,
,,,Q4,,,Sum of Jordan 3p,Jordan playoffs 3p,,,,
Sum of Jordan 3,Jordan playoffs 3,,Sum of Lebron orb,Lebron playoffs orb,,206.67,503.874,,,,
635,"3,081",,"1,509","3,557",,,,,,,
,,,,,,,,,,,
,,,Sum of Jordan orb,Jordan playoffs orb,,,,,,,
Sum of Lebron ft,Lebron playoffs ft,,"1,879",493,,,,,,,
"7,404","3,492",,,,,Q7,,,,,
,,,Sum of Lebron drb,Lebron playoffsdrb,,,,,,,
,,,"7,896","12,963",,,,,,,
Sum of Jordan ft,Jordan playoffs ft,,,,,,,,,,
"7,093","14,092",,Sum of Jordan  drb,Jordan playoffs drb,,,,,,,
,,,"7,204","2,591",,,,,,,
,,,,,,,,,,,
,,,Sum of Lebron trb,Lebron playoffs trb,,,,,,,
,,,"9,405","16,520",,,,,,,
,,,,,,,,,,,
,,,Sum of Jordan trb,Jordan playoffs trb,,,,,,,
,,,"9,083","3,084",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
