game,game2,date,date2,series, series,series_game,Lebron s_g,team,Lebron t,opp,Lebron opp,result,Lebron r,mp,Lebron mp,fg,Lebron fg,fga,Lebron fga,fgp,Lebron fgp,three,Lebron 3,threeatt,Lebron 3att,threep,Lebron 3p,ft,Lebron ft,fta,Lebron fta,ftp,Lebron ftp,orb,Lebron orb,drb,Lebron drb,trb,Lebron trb,ast,Lebron ast,stl,Lebron stl,blk,Lebron blk,tov,Lebron tov,pts,Lebron pts,game_score,Lebron g_s,plus_minus,Lebron p_m
1,1,4/19/1985,4/22/2006,EC1,EC1,1,1,CHI,CLE,MIL,WAS,L (-9),W (+11),44,48,7,12,19,27,0.368,0.444,0,1,1,4,0,0.25,9,7,10,11,0.9,0.636,1,3,3,8,4,11,10,11,3,0,0,0,1,4,23,32,21.5,23.3,,11
2,2,4/21/1985,4/25/2006,EC1,EC1,2,2,CHI,CLE,MIL,WAS,L (-7),L (-5),43,43,9,7,17,25,0.529,0.364,1,0,4,3,0.25,0,11,11,12,13,0.917,0.846,1,4,3,4,4,8,12,7,2,1,0,2,7,2,30,27,24.3,22.5,,12
3,3,4/24/1985,4/28/2006,EC1,EC1,3,3,CHI,CLE,MIL,WAS,W (+2),W (+1),42,48,12,16,26,28,0.462,0.5,0,3,1,5,0,0.6,11,5,16,7,0.688,0.714,3,0,5,6,8,6,7,9,4,1,1,0,3,2,35,30,28.2,24.1,,6
4,4,4/26/1985,4/30/2006,EC1,EC1,4,4,CHI,CLE,MIL,WAS,L (-8),L (-10),42,45,6,13,16,23,0.375,0.647,0,6,2,9,0,0.667,17,9,20,10,0.85,0.9,2,0,5,12,7,12,5,11,2,2,3,1,4,2,29,37,24.3,39.9,,29
1,1,4/17/1986,4/22/2006,EC1,EC1,1,1,CHI,CLE,BOS,WAS,L (-19),W (+11),43,48,18,12,36,27,0.5,0.444,0,1,0,4,,0.25,13,7,15,11,0.867,0.636,0,3,4,8,4,11,2,11,2,0,1,0,5,4,49,32,29.3,23.3,,11
2,2,4/20/1986,4/25/2006,EC1,EC1,2,2,CHI,CLE,BOS,WAS,L (-4),L (-5),53,43,22,7,41,25,0.537,0.364,0,0,0,3,,0,19,11,21,13,0.905,0.846,1,4,4,4,5,8,6,7,3,1,2,2,4,2,63,27,47.2,22.5,,12
3,3,4/22/1986,4/28/2006,EC1,EC1,3,3,CHI,CLE,BOS,WAS,L (-18),W (+1),39,48,8,16,18,28,0.444,0.5,1,3,1,5,1,0.6,2,5,3,7,0.667,0.714,4,0,6,6,10,6,9,9,2,1,1,0,5,2,19,30,15.4,24.1,,6
1,1,4/23/1987,4/22/2006,EC1,EC1,1,1,CHI,CLE,BOS,WAS,L (-4),W (+11),44,48,12,12,25,27,0.48,0.444,0,1,1,4,0,0.25,11,7,11,11,1,0.636,0,3,6,8,6,11,7,11,4,0,2,0,2,4,35,32,30.8,23.3,,11
2,2,4/26/1987,4/25/2006,EC1,EC1,2,2,CHI,CLE,BOS,WAS,L (-9),L (-5),45,43,14,7,29,25,0.483,0.364,2,0,3,3,0.667,0,12,11,14,13,0.857,0.846,1,4,3,4,4,8,4,7,0,1,4,2,4,2,42,27,28.5,22.5,,12
3,3,4/28/1987,4/28/2006,EC1,EC1,3,3,CHI,CLE,BOS,WAS,L (-11),W (+1),39,48,9,16,30,28,0.3,0.5,0,3,1,5,0,0.6,12,5,14,7,0.857,0.714,6,0,5,6,11,6,7,9,2,1,1,0,2,2,30,30,21.5,24.1,,6
