vehicle_id,vehicle_type,make_id,make_name,make_type,model_year,vehicle_desc,color,date_stolen,location_id,region,country,population,density
1,Trailer,623,Trailer,Standard,2021,BST2021D,Silver,11/5/2021,102,Auckland,New Zealand,1695200,343.09
2,Boat Trailer,623,Trailer,Standard,2021,OUTBACK BOATS FT470,Silver,12/13/2021,105,Gisborne,New Zealand,52100,6.21
3,Boat Trailer,623,Trailer,Standard,2021,ASD JETSKI,Silver,2/13/2022,102,Auckland,New Zealand,1695200,343.09
4,Trailer,623,Trailer,Standard,2021,MSC 7X4,Silver,11/13/2021,106,Hawke's Bay,New Zealand,182700,12.92
5,Trailer,623,Trailer,Standard,2018,D-MAX 8X5,Silver,1/10/2022,102,Auckland,New Zealand,1695200,343.09
6,Roadbike,636,Yamaha,Standard,2005,YZF-R6T,Black,12/31/2021,102,Auckland,New Zealand,1695200,343.09
7,Trailer,623,Trailer,Standard,2021,CAAR TRANSPORTER,Silver,11/12/2021,114,Canterbury,New Zealand,655000,14.72
8,Boat Trailer,623,Trailer,Standard,2001,BOAT,Silver,2/22/2022,109,Wellington,New Zealand,543500,67.52
9,Trailer,514,Briford,Standard,2021,"7X4-6"" 1000KG",Silver,2/25/2022,115,Otago,New Zealand,246000,7.89
10,Trailer,514,Briford,Standard,2020,8X4 TANDEM,Silver,1/3/2022,114,Canterbury,New Zealand,655000,14.72
11,Trailer,623,Trailer,Standard,2018,HOMEBUILT,Silver,10/15/2021,108,Manawatū-Whanganui,New Zealand,258200,11.62
12,Trailer,538,Factory Built,Standard,2018,BRENT SMITH TRAILERS,Silver,2/28/2022,102,Auckland,New Zealand,1695200,343.09
13,Moped,629,Vespa,Standard,2004,ET2,Black,12/19/2021,102,Auckland,New Zealand,1695200,343.09
14,Moped,550,Honda,Standard,2007,TODAY,Blue,1/23/2022,102,Auckland,New Zealand,1695200,343.09
15,Roadbike,611,Suzuki,Standard,2007,DL650,Black,2/28/2022,101,Northland,New Zealand,201500,16.11
16,Trailer,623,Trailer,Standard,2021,JOBMATE,Silver,2/8/2022,109,Wellington,New Zealand,543500,67.52
17,Trailer,623,Trailer,Standard,2021,BSTB85B,Silver,10/10/2021,102,Auckland,New Zealand,1695200,343.09
18,Boat Trailer,623,Trailer,Standard,2004,BOAT,White,10/7/2021,104,Bay of Plenty,New Zealand,347700,28.8
19,Trailer,623,Trailer,Standard,2014,DOMESTIC TRAILER,White,2/24/2022,104,Bay of Plenty,New Zealand,347700,28.8
20,Boat Trailer,623,Trailer,Standard,2018,APS SEADOO,Silver,11/8/2021,114,Canterbury,New Zealand,655000,14.72
21,Roadbike,625,Triumph,Standard,2002,THUNDERBIRD,Silver,2/11/2022,101,Northland,New Zealand,201500,16.11
22,Trailer,538,Factory Built,Standard,2000,BRENT SMITH TRAILERS,Silver,11/22/2021,104,Bay of Plenty,New Zealand,347700,28.8
23,Trailer,623,Trailer,Standard,2015,LOCAL,Silver,1/27/2022,114,Canterbury,New Zealand,655000,14.72
